Date,Month,Year,Cost,OrderDate
1986 Jan,1,1986,1338872,01/01/1986
1986 Feb,2,1986,895350,01/02/1986
1986 Mar,3,1986,1257188,01/03/1986
1986 Apr,4,1986,1103896,01/04/1986
1986 May,5,1986,1099923,01/05/1986
1986 Jun,6,1986,1477315,01/06/1986
1986 Jul,7,1986,1191879,01/07/1986
1986 Aug,8,1986,1188552,01/08/1986
1986 Sep,9,1986,1526746,01/09/1986
1986 Oct,10,1986,1235675,01/10/1986
1986 Nov,11,1986,1408034,01/11/1986
1986 Dec,12,1986,2450008,01/12/1986
1987 Jan,1,1987,1152741,01/01/1987
1987 Feb,2,1987,988875,01/02/1987
1987 Mar,3,1987,1283782,01/03/1987
1987 Apr,4,1987,1234167,01/04/1987
1987 May,5,1987,1150060,01/05/1987
1987 Jun,6,1987,1523531,01/06/1987
1987 Jul,7,1987,1323216,01/07/1987
1987 Aug,8,1987,1269498,01/08/1987
1987 Sep,9,1987,1585818,01/09/1987
1987 Oct,10,1987,1361855,01/10/1987
1987 Nov,11,1987,1524406,01/11/1987
1987 Dec,12,1987,2667217,01/12/1987
1988 Jan,1,1988,1264311,01/01/1988
1988 Feb,2,1988,1068011,01/02/1988
1988 Mar,3,1988,1416289,01/03/1988
1988 Apr,4,1988,1251585,01/04/1988
1988 May,5,1988,1290306,01/05/1988
1988 Jun,6,1988,1654260,01/06/1988
1988 Jul,7,1988,1426004,01/07/1988
1988 Aug,8,1988,1357771,01/08/1988
1988 Sep,9,1988,1712547,01/09/1988
1988 Oct,10,1988,1453689,01/10/1988
1988 Nov,11,1988,1646585,01/11/1988
1988 Dec,12,1988,2908672,01/12/1988
1989 Jan,1,1989,1357475,01/01/1989
1989 Feb,2,1989,1172011,01/02/1989
1989 Mar,3,1989,1598010,01/03/1989
1989 Apr,4,1989,1365465,01/04/1989
1989 May,5,1989,1479809,01/05/1989
1989 Jun,6,1989,1751987,01/06/1989
1989 Jul,7,1989,1487115,01/07/1989
1989 Aug,8,1989,1429192,01/08/1989
1989 Sep,9,1989,1833044,01/09/1989
1989 Oct,10,1989,1508884,01/10/1989
1989 Nov,11,1989,1685511,01/11/1989
1989 Dec,12,1989,3060749,01/12/1989
1990 Jan,1,1990,1453813,01/01/1990
1990 Feb,2,1990,1310561,01/02/1990
