Date,Cost,Year,Month_Name,Month,Day,OrderDate
1986 Jan,1338872,1986,Jan,1,1,1/1/1986
1986 Feb,895350,1986,Feb,2,1,1/2/1986
1986 Mar,1257188,1986,Mar,3,1,1/3/1986
1986 Apr,1103896,1986,Apr,4,1,1/4/1986
1986 May,1099923,1986,May,5,1,1/5/1986
1986 Jun,1477315,1986,Jun,6,1,1/6/1986
1986 Jul,1191879,1986,Jul,7,1,1/7/1986
1986 Aug,1188552,1986,Aug,8,1,1/8/1986
1986 Sep,1526746,1986,Sep,9,1,1/9/1986
1986 Oct,1235675,1986,Oct,10,1,1/10/1986
1986 Nov,1408034,1986,Nov,11,1,1/11/1986
1986 Dec,2450008,1986,Dec,12,1,1/12/1986
1987 Jan,1152741,1987,Jan,1,1,1/1/1987
1987 Feb,988875,1987,Feb,2,1,1/2/1987
1987 Mar,1283782,1987,Mar,3,1,1/3/1987
1987 Apr,1234167,1987,Apr,4,1,1/4/1987
1987 May,1150060,1987,May,5,1,1/5/1987
1987 Jun,1523531,1987,Jun,6,1,1/6/1987
1987 Jul,1323216,1987,Jul,7,1,1/7/1987
1987 Aug,1269498,1987,Aug,8,1,1/8/1987
1987 Sep,1585818,1987,Sep,9,1,1/9/1987
1987 Oct,1361855,1987,Oct,10,1,1/10/1987
1987 Nov,1524406,1987,Nov,11,1,1/11/1987
1987 Dec,2667217,1987,Dec,12,1,1/12/1987
1988 Jan,1264311,1988,Jan,1,1,1/1/1988
1988 Feb,1068011,1988,Feb,2,1,1/2/1988
1988 Mar,1416289,1988,Mar,3,1,1/3/1988
1988 Apr,1251585,1988,Apr,4,1,1/4/1988
1988 May,1290306,1988,May,5,1,1/5/1988
1988 Jun,1654260,1988,Jun,6,1,1/6/1988
1988 Jul,1426004,1988,Jul,7,1,1/7/1988
1988 Aug,1357771,1988,Aug,8,1,1/8/1988
1988 Sep,1712547,1988,Sep,9,1,1/9/1988
1988 Oct,1453689,1988,Oct,10,1,1/10/1988
1988 Nov,1646585,1988,Nov,11,1,1/11/1988
1988 Dec,2908672,1988,Dec,12,1,1/12/1988
1989 Jan,1357475,1989,Jan,1,1,1/1/1989
1989 Feb,1172011,1989,Feb,2,1,1/2/1989
1989 Mar,1598010,1989,Mar,3,1,1/3/1989
1989 Apr,1365465,1989,Apr,4,1,1/4/1989
1989 May,1479809,1989,May,5,1,1/5/1989
1989 Jun,1751987,1989,Jun,6,1,1/6/1989
1989 Jul,1487115,1989,Jul,7,1,1/7/1989
1989 Aug,1429192,1989,Aug,8,1,1/8/1989
1989 Sep,1833044,1989,Sep,9,1,1/9/1989
1989 Oct,1508884,1989,Oct,10,1,1/10/1989
1989 Nov,1685511,1989,Nov,11,1,1/11/1989
1989 Dec,3060749,1989,Dec,12,1,1/12/1989
1990 Jan,1453813,1990,Jan,1,1,1/1/1990
1990 Feb,1310561,1990,Feb,2,1,1/2/1990
1990 Mar,1733307,1990,Mar,3,1,1/3/1990
1990 Apr,1520611,1990,Apr,4,1,1/4/1990
1990 May,1603025,1990,May,5,1,1/5/1990
1990 Jun,1883261,1990,Jun,6,1,1/6/1990
1990 Jul,1678509,1990,Jul,7,1,1/7/1990
1990 Aug,1538900,1990,Aug,8,1,1/8/1990
1990 Sep,1967189,1990,Sep,9,1,1/9/1990
1990 Oct,1574135,1990,Oct,10,1,1/10/1990
1990 Nov,1710231,1990,Nov,11,1,1/11/1990
1990 Dec,3193906,1990,Dec,12,1,1/12/1990
1991 Jan,1766199,1991,Jan,1,1,1/1/1991
1991 Feb,1237718,1991,Feb,2,1,1/2/1991
1991 Mar,1774826,1991,Mar,3,1,1/3/1991
1991 Apr,1493780,1991,Apr,4,1,1/4/1991
1991 May,1526563,1991,May,5,1,1/5/1991
1991 Jun,1922880,1991,Jun,6,1,1/6/1991
1991 Jul,1673151,1991,Jul,7,1,1/7/1991
1991 Aug,1559344,1991,Aug,8,1,1/8/1991
1991 Sep,1939736,1991,Sep,9,1,1/9/1991
1991 Oct,1631077,1991,Oct,10,1,1/10/1991
1991 Nov,1835265,1991,Nov,11,1,1/11/1991
1991 Dec,3171970,1991,Dec,12,1,1/12/1991
1992 Jan,1355619,1992,Jan,1,1,1/1/1992
1992 Feb,1262640,1992,Feb,2,1,1/2/1992
1992 Mar,1674044,1992,Mar,3,1,1/3/1992
1992 Apr,1478965,1992,Apr,4,1,1/4/1992
1992 May,1561385,1992,May,5,1,1/5/1992
1992 Jun,1867880,1992,Jun,6,1,1/6/1992
1992 Jul,1571838,1992,Jul,7,1,1/7/1992
1992 Aug,1584686,1992,Aug,8,1,1/8/1992
1992 Sep,2002160,1992,Sep,9,1,1/9/1992
1992 Oct,1696162,1992,Oct,10,1,1/10/1992
1992 Nov,1847945,1992,Nov,11,1,1/11/1992
1992 Dec,3259321,1992,Dec,12,1,1/12/1992
1993 Jan,1422404,1993,Jan,1,1,1/1/1993
1993 Feb,1318448,1993,Feb,2,1,1/2/1993
1993 Mar,1731214,1993,Mar,3,1,1/3/1993
1993 Apr,1554947,1993,Apr,4,1,1/4/1993
1993 May,1540377,1993,May,5,1,1/5/1993
1993 Jun,1988228,1993,Jun,6,1,1/6/1993
1993 Jul,1638976,1993,Jul,7,1,1/7/1993
1993 Aug,1611552,1993,Aug,8,1,1/8/1993
1993 Sep,2089518,1993,Sep,9,1,1/9/1993
1993 Oct,1772581,1993,Oct,10,1,1/10/1993
1993 Nov,1936235,1993,Nov,11,1,1/11/1993
1993 Dec,3488418,1993,Dec,12,1,1/12/1993
1994 Jan,1508940,1994,Jan,1,1,1/1/1994
1994 Feb,1347527,1994,Feb,2,1,1/2/1994
1994 Mar,1877002,1994,Mar,3,1,1/3/1994
1994 Apr,1621808,1994,Apr,4,1,1/4/1994
1994 May,1638426,1994,May,5,1,1/5/1994
1994 Jun,2080162,1994,Jun,6,1,1/6/1994
1994 Jul,1743275,1994,Jul,7,1,1/7/1994
1994 Aug,1668324,1994,Aug,8,1,1/8/1994
1994 Sep,2225774,1994,Sep,9,1,1/9/1994
1994 Oct,1823399,1994,Oct,10,1,1/10/1994
1994 Nov,1979671,1994,Nov,11,1,1/11/1994
1994 Dec,3747628,1994,Dec,12,1,1/12/1994
1995 Jan,1509083,1995,Jan,1,1,1/1/1995
1995 Feb,1405522,1995,Feb,2,1,1/2/1995
1995 Mar,1871906,1995,Mar,3,1,1/3/1995
1995 Apr,1723535,1995,Apr,4,1,1/4/1995
1995 May,1703581,1995,May,5,1,1/5/1995
1995 Jun,2125116,1995,Jun,6,1,1/6/1995
